Item,Tarefa,Eixo,Status,Assunto,Início,Prazo,Concluído em,Responsável
50,Ciclo de encontros presenciais para a formação continuada dos atores do transporte escolar - 04 encontros  (2/6),Assistência Técnica,Não iniciada,Formação presencial,18/11/2024,20/12/2024,,
51,SIGEF: Sustentação e Aperfeiçoamento de infraestrutura em arquitetura escalável do Sistema de Gestão Financeira (SIGEF),Monitoramento,,Sustentação e Aperfeiçoamento,01/12/2024,30/09/2027,,
52,SETE: Desenvolvimento de painéis e panoramas de monitoramento do Sistema Eletrônico de Gestão do Transporte Escolar (SETE),Monitoramento,,Desenvolvimento de Soluções,01/01/2025,31/10/2025,,
53,Sustentação e aperfeiçoamento de solução para Comunicação em WhatsApp e SMS baseada em arquitetura de dados,Monitoramento,,Sustentação e Aperfeiçoamento,01/01/2025,30/09/2027,,
54,Ciclo de encontros presenciais para a formação continuada dos atores do transporte escolar - 10 encontros  (3/6),Assistência Técnica,Não iniciada,Formação presencial,01/02/2025,31/12/2025,,Proplan
55,"Pesquisa de Diagnóstico Situacional: necessidades, funcionamento e desafios do transporte escolar (2/4)",Assistência Técnica,Não iniciada,Monitoramento,03/02/2025,28/03/2025,,
56,"Ciclo de Formação Síncrona e/ou Assíncrona: webinários, lives, oficinas, estudos e produções (2/4)",Assistência Técnica,Não iniciada,Formação online,01/07/2025,15/11/2025,,
57,"Oficina de regulação e operação do transporte escolar: Política pública, direito do cidadão (2/2)",Assistência Técnica,Não iniciada,Formação online,01/07/2025,15/08/2025,,
58,SETE: Sustentação e aperfeiçoamento de painéis e panoramas de monitoramento do Sistema Eletrônico de Gestão do Transporte Escolar (SETE),Monitoramento,,Sustentação e Aperfeiçoamento,01/08/2025,30/09/2027,,
59,SETE: Desenvolvimento de Produto Mínimo Viável (PMV) para módulos complementares do SETE,Monitoramento,,Desenvolvimento de Soluções,01/01/2026,30/09/2027,,
60,Ciclo de encontros presenciais para a formação continuada dos atores do transporte escolar - 06 encontros  (4/6),Assistência Técnica,Não iniciada,Formação presencial,01/02/2026,30/06/2026,,
61,"Pesquisa de Diagnóstico Situacional: necessidades, funcionamento e desafios do transporte escolar (3/4)",Assistência Técnica,Não iniciada,Monitoramento,01/06/2026,30/06/2026,,
62,"Ciclo de Formação Síncrona e/ou Assíncrona: webinários, lives, oficinas, estudos e produções (3/4)",Assistência Técnica,Não iniciada,Formação online,01/07/2026,15/11/2026,,
63,Defeso Eleitoral (2/2),Assistência Técnica,Não iniciada,Defeso Eleitoral,01/07/2026,15/11/2026,,
64,"Desenvolvimento de ""canal direto"" de Assistência Técnica para monitoramento contínuo",Assistência Técnica,Não iniciada,Assistência Técnica,01/07/2026,15/11/2026,,
65,Fórum Nordeste de Centros Colaboradores do FNDE (2/2),Ação Transversal,,Formação,08/07/2026,31/07/2026,,
66,Revisão do Programa Cecate Nordeste de Formação dos atores do Transporte Escolar 2024 - 2026 (2/2),Assistência Técnica,Não iniciada,Formação,08/07/2026,30/07/2026,,
67,Ciclo de encontros presenciais para a formação continuada dos atores do transporte escolar - 04 encontros  (5/6),Assistência Técnica,Não iniciada,Formação presencial,18/11/2026,20/12/2026,,
68,Ciclo de encontros presenciais para a formação continuada dos atores do transporte escolar - 10 encontros  (6/6),Assistência Técnica,Não iniciada,Formação presencial,01/02/2027,30/09/2027,,
69,"Pesquisa de Diagnóstico Situacional: necessidades, funcionamento e desafios do transporte escolar (4/4)",Assistência Técnica,Não iniciada,Monitoramento,01/06/2027,30/06/2027,,
70,"Ciclo de Formação Síncrona e/ou Assíncrona: webinários, lives, oficinas, estudos e produções (4/4)",Assistência Técnica,Não iniciada,Formação online,01/07/2027,15/09/2027,,
71,"Oficina de regulação e operação do transporte escolar: Política pública, direito do cidadão (1/2)",Assistência Técnica,Não iniciada,Formação online,01/07/2027,15/08/2027,,
